Step,Time,Temp,PotEng,KinEng,TotEng,Press,Volume
0.0,0.0,300.0,-0.18790831,0.11633413,-0.071574176,7990.9235,145.53158
10.0,0.005,300.15003,-0.1879665,0.11639231,-0.071574185,7985.1228,145.53158
20.0,0.01,300.59697,-0.18814017,0.11656563,-0.071574543,7967.323,145.53158
30.0,0.015,301.32986,-0.18842594,0.11684983,-0.071576117,7936.6059,145.53158
40.0,0.02,302.32591,-0.18881643,0.11723607,-0.071580355,7892.2134,145.53158
50.0,0.025,303.54625,-0.18929857,0.1177093,-0.071589274,7834.3,145.53158
